Last Name,First Name,Country,Date of birth,Date of birth.1,Date of birth.2,Course type,location,Gender,Swim,distance(m),25m,50m,100m
WILSON,Andrew,USA,16,SEP,1993,long,Tokyo 2020,m,Breaststroke,100,,27.73,00:59.2
MATZERATH,Lucas,GER,3,MAY,2000,long,Tokyo 2020,m,Breaststroke,100,,27.83,00:59.3
SCHWINGENSCHLOGL,Fabian,GER,15,AUG,1991,long,Tokyo 2020,m,Breaststroke,100,,27.5,00:59.3
PRIGODA,Kirill,ROC,29,DEC,1995,long,Tokyo 2020,m,Breaststroke,100,,27.95,00:59.4
LIMA,Felipe,BRA,5,APR,1985,long,Tokyo 2020,m,Breaststroke,100,,27.47,00:59.8
MURA,Ryuya,JPN,3,JUL,1996,long,Tokyo 2020,m,Breaststroke,100,,28.26,00:59.8
SIDLAUSKAS,Andrius,LTU,6,APR,1997,long,Tokyo 2020,m,Breaststroke,100,,27.8,00:59.8
POGGIO,Federico,ITA,24,APR,1998,long,Tokyo 2020,m,Breaststroke,100,,28.25,00:59.9
CHUPKOV,Anton,ROC,22,FEB,1997,long,Tokyo 2020,m,Breaststroke,100,,28.43,00:59.9
SCHOENMAKER,Tatjana,RSA,9,JUL,1997,long,Tokyo 2020,f,Breaststroke,100,,30.48,01:05.1
KING,Lilly,USA,10,FEB,1997,long,Tokyo 2020,f,Breaststroke,100,,30.7,01:05.4
JACOBY,Lydia,USA,29,FEB,2004,long,Tokyo 2020,f,Breaststroke,100,,31.24,01:05.7
HANSSON,Sophie,SWE,2,AUG,1998,long,Tokyo 2020,f,Breaststroke,100,,31.05,01:05.8
EFIMOVA,Yuliya,ROC,3,APR,1992,long,Tokyo 2020,f,Breaststroke,100,,31.56,01:06.3
CHIKUNOVA,Evgeniia,ROC,17,NOV,2004,long,Tokyo 2020,f,Breaststroke,100,,31.64,01:06.5
CARRARO,Martina,ITA,21,JUN,1993,long,Tokyo 2020,f,Breaststroke,100,,31.77,01:06.5
Mc,SHARRY,IRL,21,AUG,2000,long,Tokyo 2020,f,Breaststroke,100,,31.62,01:06.6
HODGES,Chelsea,AUS,27,JUN,2001,long,Tokyo 2020,f,Breaststroke,100,,31.15,01:06.6
TANG Qianting,Mona,CHN,14,MAR,2004,long,Tokyo 2020,f,Breaststroke,100,,30.8,01:06.6
VASEY,Sarah,GBR,29,AUG,1996,long,Tokyo 2020,f,Breaststroke,100,,30.89,01:06.9
HULKKO,Ida,FIN,12,DEC,1998,long,Tokyo 2020,f,Breaststroke,100,,30.99,01:07.0
ELENDT,ACD,GER,4,SEP,2001,long,Tokyo 2020,f,Breaststroke,100,,31.78,01:07.3
TETEREVKOVA,Kotryna,LTU,23,JAN,2002,long,Tokyo 2020,f,Breaststroke,100,,31.49,01:07.4
MAMIE,Lisa,SUI,27,OCT,1998,long,Tokyo 2020,f,Breaststroke,100,,31.83,01:07.4
JEFIMOVA,Eneli,EST,27,DEC,2006,long,Tokyo 2020,f,Breaststroke,100,,31.55,01:07.6
MURPHY,Ryan,USA,2,JUL,1995,long,Tokyo 2020,m,Backstroke,100,,25.39,00:52.2
KOLESNIKOV,Kliment,ROC,9,JUL,2000,long,Tokyo 2020,m,Backstroke,100,,25.32,00:52.3
LARKIN,Mitch,AUS,9,JUL,1993,long,Tokyo 2020,m,Backstroke,100,,25.84,00:52.8
CECCON,Thomas,ITA,27,JAN,2001,long,Tokyo 2020,m,Backstroke,100,,25.92,00:52.8
RYLOV,Evgeny,ROC,23,SEP,1996,long,Tokyo 2020,m,Backstroke,100,,25.75,00:52.9
XU,Jiayu,CHN,19,AUG,1995,long,Tokyo 2020,m,Backstroke,100,,25.71,00:52.9
GONZALEZ,Hugo,ESP,19,FEB,1999,long,Tokyo 2020,m,Backstroke,100,,25.91,00:53.1
GLINTA,Robert,ROU,18,APR,1997,long,Tokyo 2020,m,Backstroke,100,,25.89,00:53.2
IRIE,Ryosuke,JPN,24,JAN,1990,long,Tokyo 2020,m,Backstroke,100,,25.71,00:53.2
ARMSTRONG,Joseph,USA,24,JAN,2001,long,Tokyo 2020,m,Backstroke,100,,25.5,00:53.2
CHRISTOU,Apostolos,GRE,1,NOV,1996,long,Tokyo 2020,m,Backstroke,100,,25.25,00:53.4
COOPER,Isaac,AUS,7,JAN,2004,long,Tokyo 2020,m,Backstroke,100,,25.61,00:53.4
ULRICH,Marek,GER,12,JAN,1997,long,Tokyo 2020,m,Backstroke,100,,25.8,00:53.5
TOMAC,Mewen,FRA,11,SEP,2001,long,Tokyo 2020,m,Backstroke,100,,25.75,00:53.6
GUIDO,Guilherme,BRA,12,FEB,1987,long,Tokyo 2020,m,Backstroke,100,,25.52,00:53.8
SMITH,Regan,USA,9,FEB,2002,long,Tokyo 2020,f,Backstroke,100,,28.32,00:57.9
MASSE,Kylie,CAN,18,JAN,1996,long,Tokyo 2020,f,Backstroke,100,,28.35,00:58.1
McKEOWN,Kaylee,AUS,12,JUL,2001,long,Tokyo 2020,f,Backstroke,100,,28.66,00:58.1
WHITE Rhyan, Elizabeth,USA,25,JAN,2000,long,Tokyo 2020,f,Backstroke,100,,28.31,00:58.5
DAWSON,Kathleen ,GBR,3,OCT,1997,long,Tokyo 2020,f,Backstroke,100,,28.29,00:58.6
SEEBOHM,Emily,AUS,5,JUN,1992,long,Tokyo 2020,f,Backstroke,100,,28.73,00:58.6
TOUSSAINT,Kira,NED,22,MAY,1994,long,Tokyo 2020,f,Backstroke,100,,28.58,00:59.1
GORBENKO,Anastasia,ISR,7,AUG,2003,long,Tokyo 2020,f,Backstroke,100,,29.46,00:59.3
RUCK,Taylor,CAN,28,MAY,2000,long,Tokyo 2020,f,Backstroke,100,,28.61,00:59.5
KAMENEVA,Mariia,ROC,27,MAY,1999,long,Tokyo 2020,f,Backstroke,100,,29.02,00:59.5
PANZIERA,Margherita,ITA,12,AUG,1995,long,Tokyo 2020,f,Backstroke,100,,29.11,00:59.8
PENG,Xuwei,CHN,15,JAN,2003,long,Tokyo 2020,f,Backstroke,100,,29.16,01:00.0
KONISHI,Anna,JPN,10,MAY,1996,long,Tokyo 2020,f,Backstroke,100,,29.43,01:00.0
WILD,Cassie,GBR,12,JUN,2000,long,Tokyo 2020,f,Backstroke,100,,29.25,01:00.2
FESIKOVA,Anastasiia,ROC,8,MAY,1990,long,Tokyo 2020,f,Backstroke,100,,29.23,01:00.2
de WAARD, Maaike,NED,11,OCT,1996,long,Tokyo 2020,f,Backstroke,100,,28.72,01:00.5
KOLESNIKOV,Kliment,ROC,9,7,2000,long,Tokyo 2020,m,freestyle,100,,22.52,00:47.1
DRESSEL,Caeleb,USA,16,8,1996,long,Tokyo 2020,m,freestyle,100,,22.55,00:47.2
MIRESSI,Alessandro,ITA,2,10,1998,long,Tokyo 2020,m,freestyle,100,,22.81,00:47.5
HWANG,Sunwoo,KOR,21,5,2003,long,Tokyo 2020,m,freestyle,100,,23.17,00:47.6
POPOVICI,David,ROU,15,9,2004,long,Tokyo 2020,m,freestyle,100,,23.28,00:47.7
CHALMERS,Kyle,AUS,25,6,1998,long,Tokyo 2020,m,freestyle,100,,23.25,00:47.8
NEMETH,Nandor,HUN,19,11,1999,long,Tokyo 2020,m,freestyle,100,,23.22,00:47.8
GROUSSET,Maxime,FRA,24,4,1999,long,Tokyo 2020,m,freestyle,100,,22.81,00:47.8
BARNA,Andrej,SRB,6,3,1998,long,Tokyo 2020,m,freestyle,100,,22.94,00:47.9
MINAKOV,Andrei,ROC,17,3,2002,long,Tokyo 2020,m,freestyle,100,,22.71,00:48.0
APPLE,Zach,USA,23,4,1997,long,Tokyo 2020,m,freestyle,100,,22.92,00:48.0
CECCON,Thomas,ITA,27,1,2001,long,Tokyo 2020,m,freestyle,100,,23.45,00:48.1
WHITTLE,Jacob,GBR,25,9,2004,long,Tokyo 2020,m,freestyle,100,,23.55,00:48.1
LIENDO EDWARDS,Joshua,CAN,20,8,2002,long,Tokyo 2020,m,freestyle,100,,23.13,00:48.2
KISIL,Yuri,CAN,18,9,1995,long,Tokyo 2020,m,freestyle,100,,23.16,00:48.3
MITYUKOV,Roman,SUI,30,7,2000,long,Tokyo 2020,m,freestyle,100,,23.46,00:48.5
McKEON,Emma,AUS,24,MAY,1994,long,Tokyo 2020,f,freestyle,100,,25.27,00:52.3
HAUGHEY,SB,HKG,31,OCT,1997,long,Tokyo 2020,f,freestyle,100,,25.1,00:52.4
CAMPBELL,Cate,AUS,20,MAY,1992,long,Tokyo 2020,f,freestyle,100,,25.32,00:52.7
SJOESTROEM,Sarah,SWE,17,AUG,1993,long,Tokyo 2020,f,freestyle,100,,25.81,00:52.8
OLEKSIAK,Penny,CAN,13,JUN,2000,long,Tokyo 2020,f,freestyle,100,,25.67,00:52.9
HEEMSKERK,Femke,NED,21,SEP,1987,long,Tokyo 2020,f,freestyle,100,,25.55,00:52.9
WEITZEIL,Abbey,USA,3,DEC,1996,long,Tokyo 2020,f,freestyle,100,,25.41,00:53.0
HOPKIN,Anna,GBR,24,APR,1996,long,Tokyo 2020,f,freestyle,100,,25.37,00:53.1
WATTEL,Marie,FRA,2,JUN,1997,long,Tokyo 2020,f,freestyle,100,,25.48,00:53.1
BLUME,Pernille,DEN,14,MAY,1994,long,Tokyo 2020,f,freestyle,100,,25.42,00:53.3
ANDERSON,Freya,GBR,4,MAR,2001,long,Tokyo 2020,f,freestyle,100,,26.13,00:53.5
BRO,Signe,DEN,5,MAR,1999,long,Tokyo 2020,f,freestyle,100,,25.85,00:53.5
BROWN,Erika,USA,27,AUG,1998,long,Tokyo 2020,f,freestyle,100,,26.08,00:53.6
COLEMAN,Michelle,SWE,31,OCT,1993,long,Tokyo 2020,f,freestyle,100,,25.89,00:53.7
BONNET,Charlotte,FRA,14,FEB,1995,long,Tokyo 2020,f,freestyle,100,,26.17,00:54.1
WU,Qingfeng,CHN,28,JAN,2003,long,Tokyo 2020,f,freestyle,100,,25.9,00:54.9
DRESSEL,Caeleb,USA,16,AUG,1996,long,Tokyo 2020,m,Butterfly,100,,23.2,00:49.7
MILAK,Kristof,HUN,20,FEB,2000,long,Tokyo 2020,m,Butterfly,100,,23.74,00:50.3
PONTI,Noe,SUI,1,JUN,2001,long,Tokyo 2020,m,Butterfly,100,,23.72,00:50.8
MILADINOV,Josif,BUL,23,JUN,2003,long,Tokyo 2020,m,Butterfly,100,,24.02,00:51.1
MINAKOV,Andrei,ROC,17,MAR,2002,long,Tokyo 2020,m,Butterfly,100,,23.73,00:51.1
TEMPLE,Matthew,AUS,20,JUN,1999,long,Tokyo 2020,m,Butterfly,100,,23.88,00:51.1
MAJERSKI,Jakub,POL,18,AUG,2000,long,Tokyo 2020,m,Butterfly,100,,24.1,00:51.2
MARTINEZ,Luis Carlos,GUA,11,DEC,1995,long,Tokyo 2020,m,Butterfly,100,,24.23,00:51.3
METELLA,Mehdy,FRA,17,JUL,1992,long,Tokyo 2020,m,Butterfly,100,,23.73,00:51.3
MIZUNUMA,Naoki,JPN,13,DEC,1996,long,Tokyo 2020,m,Butterfly,100,,24.04,00:51.5
LIENDO EDWARDS,Joshua,CAN,20,AUG,2002,long,Tokyo 2020,m,Butterfly,100,,23.88,00:51.5
KORSTANJE,Nyls,NED,5,FEB,1999,long,Tokyo 2020,m,Butterfly,100,,23.54,00:51.8
SUN,Jiajun,CHN,1,AUG,2000,long,Tokyo 2020,m,Butterfly,100,,23.88,00:51.8
SZABO,Szebasztian,HUN,11,MAR,1996,long,Tokyo 2020,m,Butterfly,100,,23.79,00:51.9
SHIELDS,Tom,USA,11,JUL,1991,long,Tokyo 2020,m,Butterfly,100,,24.07,00:52.0
RAMADAN,Youssef,EGY,7,JUL,2002,long,Tokyo 2020,m,Butterfly,100,,23.78,00:52.3
CECCON, Thomas,ITA,,,2001,long,Tokyo 2020,m,freestyle,100,,22.95,00:47.7
DRESSEL, Caeleb,USA,,,1996,long,Tokyo 2020,m,freestyle,100,,22.89,47.73
CHALMERS, Kyle,AUS,,,1998,long,Tokyo 2020,m,freestyle,100,,23.18,47.77
MIRESSI, Alessandro,ITA,,,1998,long,Tokyo 2020,m,freestyle,100,,23.1,47.83
KOLESNIKOV, Kliment,RUS,,,2000,long,Tokyo 2020,m,freestyle,100,,22.72,47.89
HWANG, Sun Woo,KOR,,,2003,long,Tokyo 2020,m,freestyle,100,,23.23,47.97
MINAKOV, Andrei,RUS,,,2002,long,Tokyo 2020,m,freestyle,100,,23.08,48
POPOVICI, David,ROU,,,2004,long,Tokyo 2020,m,freestyle,100,,23.61,48.03
NEMETH, Nandor,HUN,,,1999,long,Tokyo 2020,m,freestyle,100,,23.13,48.11
KISIL, Yuri,CAN,,,1995,long,Tokyo 2020,m,freestyle,100,,23.27,48.15
APPLE, Zach,USA,,,1997,long,Tokyo 2020,m,freestyle,100,,22.97,48.16
GROUSSET, Maxime,FRA,,,1999,long,Tokyo 2020,m,freestyle,100,,23.23,48.25
BARNA, Andrej,SRB,,,1998,long,Tokyo 2020,m,freestyle,100,,22.91,48.3
LIENDO, Joshua,CAN,,,2002,long,Tokyo 2020,m,freestyle,100,,23.18,48.34
MITYUKOV, Roman,SUI,,,2000,long,Tokyo 2020,m,freestyle,100,,23.38,48.43
WHITTLE, Jacob,GBR,,,2004,long,Tokyo 2020,m,freestyle,100,,23.55,48.44
NAKAMURA, Katsumi,JPN,,,1994,long,Tokyo 2020,m,freestyle,100,,23.24,48.48
JUNYI, He,CHN,,,1997,long,Tokyo 2020,m,freestyle,100,,23.58,48.5
CHRISTOU, Apostolos,GRE,,,1996,long,Tokyo 2020,m,freestyle,100,,23.05,48.5
SZABO, Szebasztian,HUN,,,1996,long,Tokyo 2020,m,freestyle,100,,23.37,48.51
PIJNENBURG, Stan,NED,,,1996,long,Tokyo 2020,m,freestyle,100,,23.11,48.53
CARTER, Dylan,TTO,,,1996,long,Tokyo 2020,m,freestyle,100,,23.46,48.66
METELLA, Mehdy,FRA,,,1992,long,Tokyo 2020,m,freestyle,100,,23.57,48.68
MCEVOY, Cameron,AUS,,,1994,long,Tokyo 2020,m,freestyle,100,,23.29,48.72
SPAJARI, Pedro,BRA,,,1997,long,Tokyo 2020,m,freestyle,100,,22.78,48.74
WIERLING, Damian,GER,,,1996,long,Tokyo 2020,m,freestyle,100,,23.54,48.83
HANSON, Robin,SWE,,,2001,long,Tokyo 2020,m,freestyle,100,,23.12,49.07
MILJENIC, Nikola,CRO,,,1998,long,Tokyo 2020,m,freestyle,100,,23.43,49.25
CHERUTI, Meiron Amir,ISR,,,1997,long,Tokyo 2020,m,freestyle,100,,22.76,49.26
SCHREUDERS, Mikel,ARU,,,1998,long,Tokyo 2020,m,freestyle,100,,23.66,49.31
KHALAFALLA, Ali,EGY,,,1996,long,Tokyo 2020,m,freestyle,100,,23.39,49.31
SANTOS, Gabriel,BRA,,,1996,long,Tokyo 2020,m,freestyle,100,,23.16,49.33
MESTRE, Alberto,VEN,,,1999,long,Tokyo 2020,m,freestyle,100,,23.12,49.44
HO, Ian,HKG,,,1997,long,Tokyo 2020,m,freestyle,100,,23.5,49.49
SHEVTSOV, Sergii,UKR,,,1998,long,Tokyo 2020,m,freestyle,100,,23.15,49.55
GEBBIE, Luke,PHI,,,1996,long,Tokyo 2020,m,freestyle,100,,23.87,49.64
SAHNOUNE, Oussama,ALG,,,1992,long,Tokyo 2020,m,freestyle,100,,23.23,49.65
BARSEGHYAN, Artur,ARM,,,2002,long,Tokyo 2020,m,freestyle,100,,23.54,49.78
SCHOOLING, Joseph,SGP,,,1995,long,Tokyo 2020,m,freestyle,100,,23.69,49.84
ANTONIOU, Nikolas,CYP,,,2004,long,Tokyo 2020,m,freestyle,100,,23.99,50
TURSUNOV, Khurshid,UZB,,,1994,long,Tokyo 2020,m,freestyle,100,,23.6,50.14
WETZLAR, Peter C,ZIM,,,1997,long,Tokyo 2020,m,freestyle,100,,24.17,50.31
BOUTOUIL, Samy,MAR,,,2000,long,Tokyo 2020,m,freestyle,100,,23.61,50.37
HOCKIN, Benjamin Thomas,PAR,,,1986,long,Tokyo 2020,m,freestyle,100,,24.07,50.41
MURATOVIC, Emir,BIH,,,1996,long,Tokyo 2020,m,freestyle,100,,23.59,50.43
LIUKKONEN, Ari-Pekka,FIN,,,1989,long,Tokyo 2020,m,freestyle,100,,23.7,50.48
AL-YAMANI, Mokhtar,YEM,,,1997,long,Tokyo 2020,m,freestyle,100,,23.91,50.52
ABEYSINGHE, Matthew Duncan,SRI,,,1996,long,Tokyo 2020,m,freestyle,100,,23.47,50.62
CHETCUTI, Andrew,MLT,,,1992,long,Tokyo 2020,m,freestyle,100,,24.26,51.47
ALMATROOSHI, Yousuf,UAE,,,2003,long,Tokyo 2020,m,freestyle,100,,24.43,51.5
MITCHELL, Stefano,ANT,,,1999,long,Tokyo 2020,m,freestyle,100,,24.39,51.64
KADIU, Kledi,ALB,,,2003,long,Tokyo 2020,m,freestyle,100,,24.38,51.65
ADAWI, Issa Samir Hamed,OMA,,,1999,long,Tokyo 2020,m,freestyle,100,,24.57,51.81
ZEPHIR, Jean Luc,LCA,,,1993,long,Tokyo 2020,m,freestyle,100,,24.97,51.94
MENA, Miguel Angel,NCA,,,1997,long,Tokyo 2020,m,freestyle,100,,24.62,51.99
ROSAFIO, Danilo,KEN,,,2001,long,Tokyo 2020,m,freestyle,100,,25.07,52.54
STEPHENS, Jagger,GUM,,,1998,long,Tokyo 2020,m,freestyle,100,,25.01,52.72
FELIX, Delron,GRN,,,2000,long,Tokyo 2020,m,freestyle,100,,24.88,52.99
SHAH, Alexander Gadegaard,NEP,,,2002,long,Tokyo 2020,m,freestyle,100,,25.81,53.41
MARQUET, Mathieu,MRI,,,1994,long,Tokyo 2020,m,freestyle,100,,25.37,53.56
RADULOVIC, Bosko,MNE,,,1996,long,Tokyo 2020,m,freestyle,100,,25.38,53.6
TARIQ, Syed Muhammad Haseeb,PAK,,,1996,long,Tokyo 2020,m,freestyle,100,,25.38,53.81
AMBALA, Atuhaire,UGA,,,2001,long,Tokyo 2020,m,freestyle,100,,25.44,54.23
BELLY CRESUS, Ganira,BDI,,,2000,long,Tokyo 2020,m,freestyle,100,,25.73,54.33
KONDIROLLI, Olt,KOS,,,2003,long,Tokyo 2020,m,freestyle,100,,26.01,54.33
AL BAWWAB, Yazan,PLE,,,1999,long,Tokyo 2020,m,freestyle,100,,26.02,54.51
FOWLER, Andrew,GUY,,,1995,long,Tokyo 2020,m,freestyle,100,,26.12,55.23
TENZIN, Sangay,BHU,,,2003,long,Tokyo 2020,m,freestyle,100,,27.39,57.57
IBRAHIM, Mubal Azzam,MDV,,,2000,long,Tokyo 2020,m,freestyle,100,,27.37,58.37
IRO, Edgar,SOL,,,2000,long,Tokyo 2020,m,freestyle,100,,28.77,01:00.1
MCKEON, Emma,AUS,,,1994,long,Tokyo 2020,f,freestyle,100,,24.98,52.13
HAUGHEY, Siobhan,HKG,,,1997,long,Tokyo 2020,f,freestyle,100,,25.43,52.7
HOPKIN, Anna,GBR,,,1996,long,Tokyo 2020,f,freestyle,100,,25.27,52.75
CAMPBELL, Cate,AUS,,,1992,long,Tokyo 2020,f,freestyle,100,,25.27,52.8
SJOESTROEM, Sarah,SWE,,,1993,long,Tokyo 2020,f,freestyle,100,,25.57,52.91
OLEKSIAK, Penelope,CAN,,,2000,long,Tokyo 2020,f,freestyle,100,,25.64,52.95
BLUME, Pernille,DEN,,,1994,long,Tokyo 2020,f,freestyle,100,,25.46,52.96
YANG, Junxuan,CHN,,,2002,long,Tokyo 2020,f,freestyle,100,,25.69,53.02
HEEMSKERK, Femke,NED,,,1987,long,Tokyo 2020,f,freestyle,100,,25.46,53.1
SANCHEZ, Kayla Noelle,CAN,,,2001,long,Tokyo 2020,f,freestyle,100,,25.82,53.12
WEITZEIL, Abbigail,USA,,,1996,long,Tokyo 2020,f,freestyle,100,,25.56,53.21
COLEMAN, Michelle,SWE,,,1993,long,Tokyo 2020,f,freestyle,100,,26.08,53.53
BRO, Signe,DEN,,,1999,long,Tokyo 2020,f,freestyle,100,,25.77,53.54
ANDERSON, Freya,GBR,,,2001,long,Tokyo 2020,f,freestyle,100,,25.86,53.61
BONNET, Charlotte,FRA,,,1995,long,Tokyo 2020,f,freestyle,100,,25.86,53.67
WATTEL, Marie,FRA,,,1997,long,Tokyo 2020,f,freestyle,100,,25.82,53.71
KROMOWIDJOJO, Ranomi,NED,,,1990,long,Tokyo 2020,f,freestyle,100,,25.56,53.71
WU, Qingfeng,CHN,,,2003,long,Tokyo 2020,f,freestyle,100,,25.95,53.87
BROWN, Erika J,USA,,,1998,long,Tokyo 2020,f,freestyle,100,,25.54,53.87
KAMENEVA, Maria,RUS,,,1999,long,Tokyo 2020,f,freestyle,100,,25.84,53.92
SEEMANOVA, Barbora,CZE,,,2000,long,Tokyo 2020,f,freestyle,100,,25.87,53.98
MUREZ, Andrea,ISR,,,1992,long,Tokyo 2020,f,freestyle,100,,25.77,54.06
TEIJONSALO, Fanny,FIN,,,1996,long,Tokyo 2020,f,freestyle,100,,26.38,54.69
SEGEL, Janja,SLO,,,2001,long,Tokyo 2020,f,freestyle,100,,26.05,54.73
GALLAGHER, Erin P,RSA,,,1998,long,Tokyo 2020,f,freestyle,100,,25.74,54.75
UGOLKOVA, Maria,SUI,,,1989,long,Tokyo 2020,f,freestyle,100,,26.32,54.86
MUNOZ DEL CAMPO, Lidon,ESP,,,1995,long,Tokyo 2020,f,freestyle,100,,26,54.97
SHKURDAI, Anastasiya,BLR,,,2003,long,Tokyo 2020,f,freestyle,100,,26.75,55.17
ANTONIOU, Kalia,CYP,,,2000,long,Tokyo 2020,f,freestyle,100,,26.45,55.38
OLIVEIRA, Larissa Martins,BRA,,,1993,long,Tokyo 2020,f,freestyle,100,,26.37,55.53
DELGADO, Anicka R,ECU,,,2002,long,Tokyo 2020,f,freestyle,100,,26.47,55.56
MEYNEN, Julie-Marie,LUX,,,1997,long,Tokyo 2020,f,freestyle,100,,26.9,55.69
OSMAN, Farida H,EGY,,,1995,long,Tokyo 2020,f,freestyle,100,,26.46,55.74
JORUNNARDOTTIR, Snaefridu,ISL,,,2000,long,Tokyo 2020,f,freestyle,100,,27.17,56.15
COSTEA, Bianca,ROU,,,2005,long,Tokyo 2020,f,freestyle,100,,26.98,56.35
QUAH, Ting Wen,SGP,,,1992,long,Tokyo 2020,f,freestyle,100,,26.81,56.36
MALUKA, Ieva,LAT,,,2003,long,Tokyo 2020,f,freestyle,100,,26.77,56.39
SHEEHAN, Miriam A,PUR,,,2004,long,Tokyo 2020,f,freestyle,100,,26.78,56.64
MELIH, Amel,ALG,,,1993,long,Tokyo 2020,f,freestyle,100,,27.15,56.65
EMINOVA BLAZEVSKA, Mia,MKD,,,2005,long,Tokyo 2020,f,freestyle,100,,27.24,57.19
CROOKS, Jillian,CAY,,,2006,long,Tokyo 2020,f,freestyle,100,,27.59,57.32
SRISA-ARD, Jenjira,THA,,,1995,long,Tokyo 2020,f,freestyle,100,,27.2,57.42
SCHUTZMEIER, Maria Victoria,NCA,,,1999,long,Tokyo 2020,f,freestyle,100,,27.78,57.94
FURGESON, Colleen,MHL,,,1998,long,Tokyo 2020,f,freestyle,100,,27.97,58.71
MANUCHARYAN, Varsenik,ARM,,,2003,long,Tokyo 2020,f,freestyle,100,,28.15,59.18
BOUTBIEN, Jeanne,SEN,,,1999,long,Tokyo 2020,f,freestyle,100,,28.06,59.27
SOUSA, Catarina Welvitchia,ANG,,,2000,long,Tokyo 2020,f,freestyle,100,,28.43,59.35
OGUNBANWO, Abiola Moyosore,NGR,,,2004,long,Tokyo 2020,f,freestyle,100,,29.28,59.74
ANTUNOVIC, Andela,MNE,,,2002,long,Tokyo 2020,f,freestyle,100,,28.87,01:00.0
SINGH, Gaurika,NEP,,,2002,long,Tokyo 2020,f,freestyle,100,,28.63,01:00.1
GOMEZ, Mineri,GUM,,,2001,long,Tokyo 2020,f,freestyle,100,,30.44,01:04.0
DRESSEL, Caeleb,USA,,,1996,long,Tokyo 2020,m,Butterfly,100,,23.85,50.39
MILAK, Kristof,HUN,,,2000,long,Tokyo 2020,m,Butterfly,100,,23.95,50.62
MAJERSKI, Jakub,POL,,,2000,long,Tokyo 2020,m,Butterfly,100,,23.83,50.97
MINAKOV, Andrei,RUS,,,2002,long,Tokyo 2020,m,Butterfly,100,,23.58,51
PONTI, Noe,SUI,,,2001,long,Tokyo 2020,m,Butterfly,100,,24.32,51.24
MILADINOV, Josif,BUL,,,2003,long,Tokyo 2020,m,Butterfly,100,,24.21,51.28
MARTINEZ, Luis Carlos,GUA,,,1995,long,Tokyo 2020,m,Butterfly,100,,24.04,51.29
TEMPLE, Matthew,AUS,,,1999,long,Tokyo 2020,m,Butterfly,100,,24.05,51.39
LIENDO, Joshua,CAN,,,2002,long,Tokyo 2020,m,Butterfly,100,,23.86,51.52
METELLA, Mehdy,FRA,,,1992,long,Tokyo 2020,m,Butterfly,100,,24.29,51.53
KORSTANJE, Nyls,NED,,,1999,long,Tokyo 2020,m,Butterfly,100,,23.65,51.54
