Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender,Stroke
"BOULARD, Mederick",2003,FRA,02:26.0,33.18,36.84,38.46,m,Backstroke
"JOLY, Mathieu",2005,FRA,02:26.6,33.99,36.39,38.47,m,Backstroke
"SERIN, Timothee",2007,FRA,02:27.4,34.43,37.17,38.02,m,Backstroke
"OUDOT, Charles",2005,FRA,02:29.1,35.07,38.13,38.87,m,Backstroke
"MOUHIB, Yahya",2002,MAR,02:30.2,34.94,38.39,38.79,m,Backstroke
"LAUREAU, Charly",2007,FRA,02:30.2,37.54,38.28,37.97,m,Backstroke
"CREED, Tristan-Janos",2007,GBR,02:32.1,36.18,38.85,39.32,m,Backstroke
"COURAUD, Victor",2006,FRA,02:32.7,34.99,38.58,39.84,m,Backstroke
"BOIS, Mahe",2007,FRA,02:32.7,34.28,38.01,40.13,m,Backstroke
"DA SILVA-LENGLET, Auxence",2006,FRA,02:34.1,35.55,39.48,40.73,m,Backstroke
"GIRERD, Mathis",2005,FRA,02:34.2,35.27,38.95,40.38,m,Backstroke
"SERIN, Mathis",2005,FRA,02:35.3,35.17,39.3,41.37,m,Backstroke
"BLANDIN, Feodor",2008,FRA,02:35.7,36.22,40.46,40.4,m,Backstroke
"GARNIER, Mathis",2008,FRA,02:35.9,37.05,40.36,40.26,m,Backstroke
"KLIOUTCHKO, Yael",2009,FRA,02:36.2,35.49,40.6,40.7,m,Backstroke
"GIRERD, Hugo",2008,FRA,02:36.4,35.66,40.37,40.28,m,Backstroke
"KEHRWILLER, Antoine",2005,FRA,02:36.4,35.37,40.51,42.64,m,Backstroke
"GREUSARD, Nathan",2005,FRA,02:36.6,36.13,40,40.34,m,Backstroke
"LIOTIER, Aaron",2008,FRA,02:38.9,36.1,41.31,41.39,m,Backstroke
"MARGUIER, Charles",2004,FRA,02:39.2,36.43,40.88,41.33,m,Backstroke
"MARTIN, Raphael",2006,FRA,02:39.2,36.55,41.04,40.85,m,Backstroke
"SARGSYAN, Gagik",2006,FRA,02:39.3,34.32,43.16,43.66,m,Backstroke
"RAFFIER, Paul",2007,FRA,02:39.6,34.95,40.84,41.73,m,Backstroke
"NACHON, Felicien",2007,FRA,02:41.8,38.42,42.21,42.78,m,Backstroke
"GRACZYK, Nathan",2007,FRA,02:42.0,37.65,41.89,42.69,m,Backstroke
"WENGER, Lucas",2007,FRA,02:42.6,37.49,42.61,41.4,m,Backstroke
"BRUCKERT, Alois",2006,FRA,02:44.5,38.5,41.13,42.58,m,Backstroke
"BOURGEOIS, Pierre-Louis",2008,FRA,02:45.1,37.73,42.8,42.32,m,Backstroke
"BRIFFAUD, Valentin",2008,FRA,02:47.0,39.39,42.37,44.14,m,Backstroke
"MENANTEAU, Axel",2007,FRA,02:47.8,38.47,43.27,43.98,m,Backstroke
"SOLTANE, Adel",2006,FRA,02:47.9,38.32,41.67,44.09,m,Backstroke
"SIRE, Olivier",2005,FRA,02:49.3,39.76,43.36,44.73,m,Backstroke
"GIRAND, Enzo",2006,FRA,02:50.4,37.96,42.32,44.64,m,Backstroke
"TCHEROUKA, Noham",2008,FRA,02:51.9,39.29,44.09,45.36,m,Backstroke
"BLANCHON, Louis",2005,FRA,02:58.3,40.4,44.71,47.03,m,Backstroke
"GRILLOT, Natan",2008,FRA,02:58.8,41.47,46.23,47.5,m,Backstroke
"GUILLET, Leni",2009,FRA,02:59.9,43.46,45.45,46.68,m,Backstroke
"MONTALBANO, Tony",2007,FRA,03:02.5,43.34,46.1,47.34,m,Backstroke
"ROGGIA, Jessy",2009,FRA,03:02.7,41.38,46.77,48.62,m,Backstroke
"GUENNOC-JUDAS, Ewen",2009,FRA,03:09.6,43.92,48.76,49.28,m,Backstroke
"DUPUY-RONGERE, Pierre",2009,FRA,03:10.5,44.41,48.9,49.67,m,Backstroke
"BOURIEZ, Leonard",2009,FRA,03:18.4,46.31,52.36,52.28,m,Backstroke
"RYLOV, Evgeny",1996,RUS,01:54.5,27.4,29.01,29.17,m,Breaststroke
"GREENBANK, Luke",1997,GBR,01:54.6,26.84,28.65,29.46,m,Breaststroke
"MITYUKOV, Roman",2000,SUI,01:56.3,27.23,29.51,29.74,m,Breaststroke
"NDOYE BROUARD, Yohann",2000,FRA,01:56.4,26.56,29.16,29.56,m,Breaststroke
"TELEGDY, Adam",1995,HUN,01:56.7,27.45,29.53,29.83,m,Breaststroke
"KAWECKI, Radoslaw",1991,POL,01:57.0,27.81,29.2,29.82,m,Breaststroke
"SKIERKA, Jakub",1998,POL,01:58.6,28.62,30.24,30.11,m,Breaststroke
"HERLEM, Antoine",1999,FRA,01:58.6,28.2,29.54,30.31,m,Breaststroke
"GREENBANK, Luke",1997,GBR,01:54.4,27,28.58,29.58,m,Breaststroke
"RYLOV, Evgeny",1996,RUS,01:55.1,27.41,28.77,29.57,m,Breaststroke
"TELEGDY, Adam",1995,HUN,01:56.2,27.41,29.61,29.7,m,Breaststroke
"MITYUKOV, Roman",2000,SUI,01:56.4,27.36,29.31,29.67,m,Breaststroke
"HERLEM, Antoine",1999,FRA,01:56.6,27.77,29.43,29.64,m,Breaststroke
"NDOYE BROUARD, Yohann",2000,FRA,01:57.1,27.52,30.07,29.96,m,Breaststroke
"SKIERKA, Jakub",1998,POL,01:57.1,28.1,29.61,29.73,m,Breaststroke
"KAWECKI, Radoslaw",1991,POL,01:57.1,28.29,29.82,29.74,m,Breaststroke
"CEJKA, Jan",2001,CZE,01:57.4,27.9,30.62,29.73,m,Breaststroke
"TARASEVICH, Grigory",1995,RUS,01:57.7,27.69,30.04,30.54,m,Breaststroke
"SANTOS, Francisco Rogerio",1998,POR,01:58.0,26.76,30.02,30.34,m,Breaststroke
"MORA, Lorenzo",1998,ITA,01:58.1,27.58,29.91,30.39,m,Breaststroke
"KOVACS, Benedek",1998,HUN,01:58.2,27.38,30.45,30.76,m,Breaststroke
"COSTA, Joao Nogueira",2001,POR,01:58.7,27.75,29.87,30.42,m,Breaststroke
"MARTOS BACARIZO, Manuel",2000,ESP,01:59.4,27.61,30.64,31.22,m,Breaststroke
"WILLIAMS, Brodie",1999,GBR,02:02.5,29.02,29.16,31.34,m,Breaststroke
"WILLIAMS, Brodie",1999,GBR,01:59.2,27.91,30.14,30.96,m,Breaststroke
"RESTIVO, Matteo",1994,ITA,01:59.3,27.76,29.59,30.48,m,Breaststroke
"GREENBANK, Luke",1997,GBR,01:54.7,27.02,28.61,29.5,m,Breaststroke
"RYLOV, Evgeny",1996,RUS,01:55.7,27.67,29.23,29.48,m,Breaststroke
"HERLEM, Antoine",1999,FRA,01:56.4,27.52,29.25,29.5,m,Breaststroke
"CEJKA, Jan",2001,CZE,01:56.7,27.75,30.21,29.72,m,Breaststroke
"TELEGDY, Adam",1995,HUN,01:57.2,27.51,30.14,29.95,m,Breaststroke
"TARASEVICH, Grigory",1995,RUS,01:57.4,27.66,29.88,30.09,m,Breaststroke
"NDOYE BROUARD, Yohann",2000,FRA,01:57.7,28.02,30.32,30.43,m,Breaststroke
"KAWECKI, Radoslaw",1991,POL,01:57.8,28.62,30.3,29.28,m,Breaststroke
"SKIERKA, Jakub",1998,POL,01:58.1,28.57,29.91,30.08,m,Breaststroke
"MORA, Lorenzo",1998,ITA,01:58.5,28.17,30.22,30.32,m,Breaststroke
"COSTA, Joao Nogueira",2001,POR,01:58.6,27.94,29.98,30.41,m,Breaststroke
"MITYUKOV, Roman",2000,SUI,01:58.6,27.43,29.71,30.97,m,Breaststroke
"KOVACS, Benedek",1998,HUN,01:58.8,27.51,30.46,30.68,m,Breaststroke
"BERNEK, Peter",1992,HUN,01:59.1,28.17,30.2,30.46,m,Breaststroke
"GONZALEZ DE OLIVEIRA, Hugo",1999,ESP,01:59.1,28.31,30.24,30.56,m,Breaststroke
"SANTOS, Francisco Rogerio",1998,POR,01:59.1,27.81,30.5,30.67,m,Breaststroke
"MARTOS BACARIZO, Manuel",2000,ESP,01:59.2,27.86,30.65,30.67,m,Breaststroke
"RESTIVO, Matteo",1994,ITA,01:59.5,27.67,30.25,31.25,m,Breaststroke
"WILLIAMS, Brodie",1999,GBR,01:59.5,27.9,29.83,30.89,m,Breaststroke
"CLOGG, Elliot",1999,GBR,01:59.5,27.52,30.04,30.91,m,Breaststroke
"GARCIA SAIZ, Nicolas",2002,ESP,01:59.6,28.06,30.08,30.9,m,Breaststroke
"GLINTA, Robert",1997,ROU,01:59.7,27.79,30.23,31.11,m,Breaststroke
"CHRISTOU, Apostolos",1996,GRE,01:59.8,27.56,30.55,30.67,m,Breaststroke
"SAKA, Berke",2003,TUR,02:00.2,27.76,30.31,30.94,m,Breaststroke
"STUPIN, Maxim",2000,RUS,02:00.2,28.07,30.51,31.16,m,Breaststroke
"LEVTEROV, Kaloyan",2003,BUL,02:00.4,27.72,29.51,30.87,m,Breaststroke
"TOMAC, Mewen",2001,FRA,02:00.6,27.88,30.32,31.59,m,Breaststroke
"MASIUK, Ksawery",2004,POL,02:00.8,28.06,30.94,31.34,m,Breaststroke
"MCFADZEN, James",1999,GBR,02:00.9,28.16,30.32,31.01,m,Breaststroke
"SENICA PAVLETIC, Primoz",2001,SLO,02:00.9,28.21,29.43,31.06,m,Breaststroke
"GRIGAITIS, Erikas",2002,LTU,02:01.5,28.5,30.36,31.18,m,Breaststroke
"GERCHIK, David",2001,ISR,02:01.5,27.72,30.39,31.73,m,Breaststroke
"TOERNQVIST, Samuel",1997,SWE,02:02.0,28.19,31.13,31.66,m,Breaststroke
"JASZO, Adam",2002,HUN,02:02.2,28.52,30.82,31.21,m,Breaststroke
"LUDVIK, Tomas",1999,CZE,02:02.5,28.02,30.27,31.73,m,Breaststroke
"HOEKFELT, Gustav",1994,SWE,02:02.5,28.49,30.79,31.27,m,Breaststroke
"DUEGEN, Meliksah",2002,TUR,02:02.6,28.76,31.43,31.18,m,Breaststroke
"TSMYH, Mikita",1997,BLR,02:02.7,27.62,31.09,31.52,m,Breaststroke
"LELLE, Armin Evert",1999,EST,02:03.7,28.37,31.36,32.13,m,Breaststroke
"BOSKAN, Saso",2002,SLO,02:03.7,28.16,32.37,32.11,m,Breaststroke
"POLONSKY, Ron",2001,ISR,02:04.1,28.14,31.04,31.96,m,Breaststroke
"MANNES, Max",1997,LUX,02:04.2,28.71,31.19,32.02,m,Breaststroke
"AYDIN, Metin",1995,TUR,02:05.2,28.45,30.66,31.8,m,Breaststroke
"KUDASHEV, Alexander",1995,RUS,02:06.5,29.45,31.67,32.55,m,Breaststroke
"MARAANA, Adam",2003,ISR,02:06.9,29.11,32.06,32.53,m,Breaststroke
"PANZIERA, Margherita",1995,ITA,02:06.1,30.23,31.72,32.27,f,Breaststroke
"WILD, Cassie",2000,GBR,02:07.7,30.52,31.56,32.62,f,Breaststroke
"BURIAN, Katalin",1995,HUN,02:07.9,30.39,32.3,32.64,f,Breaststroke
"GRABOWSKI, Lena",2002,AUT,02:08.2,31.02,32.61,32.74,f,Breaststroke
"ZAMORANO SANZ, Africa",1998,ESP,02:09.8,30.52,32.67,33.44,f,Breaststroke
"SHANAHAN, Katie",2004,GBR,02:09.9,30.56,33.1,33.47,f,Breaststroke
"SZABO FELTOTHY, Eszter",2002,HUN,02:10.2,30.97,32.78,33.18,f,Breaststroke
"ZEVINA, Daryna",1994,UKR,02:13.1,31.17,33.81,34.5,f,Breaststroke
"PANZIERA, Margherita",1995,ITA,02:07.6,30.2,32.07,32.65,f,Breaststroke
"GRABOWSKI, Lena",2002,AUT,02:08.6,31.4,32.61,33.01,f,Breaststroke
"BURIAN, Katalin",1995,HUN,02:08.9,30.41,32.43,32.89,f,Breaststroke
"WILD, Cassie",2000,GBR,02:09.3,30.8,32.66,32.89,f,Breaststroke
"ZAMORANO SANZ, Africa",1998,ESP,02:09.9,30.78,32.56,33.31,f,Breaststroke
"SZABO FELTOTHY, Eszter",2002,HUN,02:10.0,31.11,33.15,33.34,f,Breaststroke
"SHANAHAN, Katie",2004,GBR,02:10.8,31.65,33.49,33.29,f,Breaststroke
"ZEVINA, Daryna",1994,UKR,02:11.7,31.31,33.29,34.14,f,Breaststroke
"MENSING, Jenny",1986,GER,02:12.2,31.23,32.92,33.86,f,Breaststroke
"HERASIMOWICZ, Zuzanna",2002,POL,02:12.5,30.64,32.81,34.12,f,Breaststroke
"AVRAMOVA, Ekaterina",1991,TUR,02:13.0,31.02,33.22,34.83,f,Breaststroke
"SALCUTAN, Tatiana",2001,MDA,02:13.1,31.03,33.8,34.25,f,Breaststroke
"OEZTUERK, Sonnele",1998,GER,02:14.3,31.93,34.21,34.54,f,Breaststroke
"BARZELAY, Aviv",2002,ISR,02:14.6,31.24,33.78,34.36,f,Breaststroke
"MAZUTAITYTE, Ugne",1997,LTU,02:14.7,31.29,34.21,34.63,f,Breaststroke
"GOLD, Aleksa",2000,EST,02:15.2,31.38,34.15,34.97,f,Breaststroke
"PANZIERA, Margherita",1995,ITA,02:08.5,30.34,32.3,33.42,f,Breaststroke
"GRABOWSKI, Lena",2002,AUT,02:09.1,31.22,32.71,33.05,f,Breaststroke
"BURIAN, Katalin",1995,HUN,02:09.5,30.61,32.76,33.34,f,Breaststroke
"SZABO FELTOTHY, Eszter",2002,HUN,02:09.7,31.34,33,33,f,Breaststroke
"NYIRADI, Reka",2004,HUN,02:10.4,31.06,32.81,33.14,f,Breaststroke
"SHANAHAN, Katie",2004,GBR,02:10.7,31.32,33.01,33.26,f,Breaststroke
"BARZELAY, Aviv",2002,ISR,02:11.6,30.81,32.86,33.82,f,Breaststroke
"ZAMORANO SANZ, Africa",1998,ESP,02:12.0,30.97,33.09,34.27,f,Breaststroke
"WILD, Cassie",2000,GBR,02:12.0,31.03,32.64,33.94,f,Breaststroke
"MENSING, Jenny",1986,GER,02:12.1,31.36,33.32,33.98,f,Breaststroke
"ZEVINA, Daryna",1994,UKR,02:12.3,31.54,33.48,33.8,f,Breaststroke
"SALCUTAN, Tatiana",2001,MDA,02:13.1,31.46,34.04,33.64,f,Breaststroke
"MAZUTAITYTE, Ugne",1997,LTU,02:13.3,31.12,33.02,34.15,f,Breaststroke
"AVRAMOVA, Ekaterina",1991,TUR,02:13.4,30.72,33.65,34.35,f,Breaststroke
"OEZTUERK, Sonnele",1998,GER,02:13.8,32.1,34.06,34.16,f,Breaststroke
"HERASIMOWICZ, Zuzanna",2002,POL,02:14.0,31.66,34.07,34.32,f,Breaststroke
"GOLD, Aleksa",2000,EST,02:14.1,31.07,33.39,34.53,f,Breaststroke
"SHKURDAI, Anastasiya",2003,BLR,02:14.3,30.79,33.94,34.93,f,Breaststroke
"GEORGIEVA, Gabriela",1997,BUL,02:14.3,31.58,33.45,34.16,f,Breaststroke
"SZILAGYI, Gerda",2003,HUN,02:14.4,32.09,34.26,34.2,f,Breaststroke
"SACHA, Ioanna",1999,GRE,02:14.8,30.66,33.34,34.58,f,Breaststroke
"DENIZLI, Sudem",2005,TUR,02:15.2,31.76,34.37,34.95,f,Breaststroke
"LAEMMLER, Nadine",1994,GER,02:15.4,31.46,33.99,35.16,f,Breaststroke
"BORER, Fanny",1996,SUI,02:15.7,32.04,34.33,34.75,f,Breaststroke
"POTOCKA, Tamara",2002,SVK,02:16.1,32.33,35.04,34.33,f,Breaststroke
"LOEYNING, Ingeborg Vassbakk",2000,NOR,02:16.4,31.73,33.68,34.53,f,Breaststroke
"SOERENSEN, Karoline",2002,DEN,02:17.1,31.13,34.67,35.58,f,Breaststroke
"NYSTRAND, Lisa",2006,SWE,02:17.5,33.3,35.12,35.08,f,Breaststroke
"GREGOIRE, Marion",2003,BEL,02:17.6,31.37,34.8,35.36,f,Breaststroke
"SMITS, Jade",2001,BEL,02:18.3,31.81,34.95,36.39,f,Breaststroke
"SEGEL, Janja",2001,SLO,02:18.4,32.19,34.44,35.7,f,Breaststroke
"JOENSEN, Signhild",2000,FAR,02:18.5,32.1,34.65,35.85,f,Breaststroke
"MARUSAKOVA, Emma",2003,SVK,02:20.8,32.56,35.38,36.53,f,Breaststroke
"KRSTEVSKA, Mia",2001,MKD,02:23.4,32.74,35.71,37.1,f,Breaststroke
"BEQIRI, Jona",2006,KOS,02:30.6,35.23,38.48,39.33,f,Breaststroke
"BERNAT, Laura",2005,POL,02:12.8,31.49,33.65,34.35,f,Breaststroke
"MASIUK, Ksawery",2004,POL,01:58.4,28.18,30.46,30.82,m,Butterfly
"SAKA, Berke",2003,TUR,01:59.0,27.84,29.98,30.63,m,Butterfly
"LEVTEROV, Kaloyan",2003,BUL,01:59.1,28.16,29.52,30.43,m,Butterfly
"KOSINSKI, Filip",2004,POL,01:59.4,28.47,30.16,30.63,m,Butterfly
"SISKOS, Apostolos",2005,GRE,02:00.4,28.38,30.7,30.88,m,Butterfly
"NAUMENKO, Vadym",2003,UKR,02:00.9,28.42,30.59,30.74,m,Butterfly
"CHOUCHAOUI, Mathys",2003,FRA,02:03.3,28.62,30.42,31.66,m,Butterfly
"JAHN, Cornelius",2003,GER,02:04.3,28.7,30.84,32.13,m,Butterfly
"LEVTEROV, Kaloyan",2003,BUL,01:59.5,28.23,29.88,30.52,m,Butterfly
"KOSINSKI, Filip",2004,POL,01:59.9,27.99,30.11,30.65,m,Butterfly
"SAKA, Berke",2003,TUR,02:00.1,28.09,30.38,31.02,m,Butterfly
"NAUMENKO, Vadym",2003,UKR,02:00.3,28.37,30.43,30.91,m,Butterfly
"MASIUK, Ksawery",2004,POL,02:00.5,27.92,30.34,31.5,m,Butterfly
"SISKOS, Apostolos",2005,GRE,02:00.8,28.42,30.98,31.03,m,Butterfly
"JAHN, Cornelius",2003,GER,02:02.0,28.17,30.81,31.69,m,Butterfly
"CHOUCHAOUI, Mathys",2003,FRA,02:02.4,28.89,31.1,31.37,m,Butterfly
"BALOGH, Levente",2005,HUN,02:02.6,28.77,31.18,31.67,m,Butterfly
"ZIAMPRAS, Arion",2004,GRE,02:02.9,29.1,31.08,31.48,m,Butterfly
"SANCHEZ CASTILLO, Pedro",2003,ESP,02:03.3,28.67,30.68,31.79,m,Butterfly
"DE SIMONE, Raffaele",2004,ITA,02:03.6,28.79,31.26,31.77,m,Butterfly
"TKACHEV, Aleksei A.",2003,RUS,02:03.7,28.19,31.05,32.14,m,Butterfly
"GREENBANK, Samuel",2003,GBR,02:04.1,28.46,30.5,32.26,m,Butterfly
"BEN SHITRIT, Eytan",2003,ISR,02:04.3,29.67,31.37,31.9,m,Butterfly
"CSERFALVI, Olaf",2004,HUN,02:05.0,28.99,32.03,32.28,m,Butterfly
"MASIUK, Ksawery",2004,POL,02:01.3,28.48,30.95,31.66,m,Butterfly
"NAUMENKO, Vadym",2003,UKR,02:01.5,28.87,31.02,30.91,m,Butterfly
"SISKOS, Apostolos",2005,GRE,02:01.5,28.58,30.98,31.45,m,Butterfly
"SAKA, Berke",2003,TUR,02:01.9,28.19,30.82,31.59,m,Butterfly
"KOSINSKI, Filip",2004,POL,02:02.2,28.49,30.42,31.9,m,Butterfly
"LEVTEROV, Kaloyan",2003,BUL,02:03.0,29.19,31.17,31.91,m,Butterfly
"DE SIMONE, Raffaele",2004,ITA,02:03.1,29.12,31.07,31.13,m,Butterfly
"SANCHEZ CASTILLO, Pedro",2003,ESP,02:03.4,29.25,30.91,31.87,m,Butterfly
"CHOUCHAOUI, Mathys",2003,FRA,02:03.4,29.1,31.07,32.07,m,Butterfly
"GREENBANK, Samuel",2003,GBR,02:03.9,27.9,31.23,31.92,m,Butterfly
"CSERFALVI, Olaf",2004,HUN,02:04.1,28.76,31.03,32.36,m,Butterfly
"BALOGH, Levente",2005,HUN,02:04.2,28.71,31.5,32.1,m,Butterfly
"ZIAMPRAS, Arion",2004,GRE,02:04.3,28.67,31.13,32.41,m,Butterfly
"JAHN, Cornelius",2003,GER,02:04.4,28.33,31.04,32.3,m,Butterfly
"BEN SHITRIT, Eytan",2003,ISR,02:04.5,29.5,30.92,31.72,m,Butterfly
"TKACHEV, Aleksei A.",2003,RUS,02:04.7,28.8,31.14,32.22,m,Butterfly
"ADAMCHUK, Ivan",2003,BLR,02:04.9,28.91,31.19,32.37,m,Butterfly
"ACCADIA, Nicolo'",2004,ITA,02:05.1,28.56,31.56,32.49,m,Butterfly
"DANZIGER, Inbar",2004,ISR,02:05.3,28.6,31.3,32.95,m,Butterfly
"KAILA, Aku",2003,FIN,02:05.5,29.45,31.27,32.08,m,Butterfly
"FORD, Mark",2003,GBR,02:05.7,29.1,31.86,32.11,m,Butterfly
"AFFENTRANGER, Robin",2004,SUI,02:05.7,28.57,31.12,32.13,m,Butterfly
"ZHELTYAKOV, Oleksandr",2005,UKR,02:06.3,28.16,32.05,33.61,m,Butterfly
"CASTRO, Duarte Monteiro",2003,POR,02:06.4,29.3,31.41,32.37,m,Butterfly
"SPEDIACCI, Simone",2004,ITA,02:06.6,29.26,32.2,33,m,Butterfly
"POPESCU, Denis",2003,ROU,02:06.7,29.98,31.54,32.88,m,Butterfly
"LAVDANITI, Zhulian",2003,ALB,02:07.4,30.15,31.42,33,m,Butterfly
"SOKOLOVSKIY, Daniil",2004,SUI,02:07.7,29.26,32.42,33.17,m,Butterfly
"OKTAR, Sanberk Yigit",2004,TUR,02:07.7,29.52,31.56,33.27,m,Butterfly
"PFEIFFER, Benjamin",2003,SUI,02:08.1,28.42,32.33,33.4,m,Butterfly
"JUDICKIJ, Michal",2004,CZE,02:08.3,30.05,32.68,33.38,m,Butterfly
"FOLTAN, Patrik",2004,SVK,02:08.5,28.99,31.89,33.36,m,Butterfly
"RAMOVIC, Adi",2004,SWE,02:08.9,30.33,32.48,33.41,m,Butterfly
"FYKATAS, Georgios",2004,GRE,02:08.9,30.02,32.62,33.58,m,Butterfly
"MIKELSONS, Kristaps",2004,LAT,02:09.4,29.81,32.28,33.99,m,Butterfly
"OPATRIL, Leon",2003,AUT,02:09.7,29.81,33.26,33.52,m,Butterfly
"GUSIC, Tarik",2003,BIH,02:09.9,28.96,31.86,33.79,m,Butterfly
"DRAGOJA, Toni",2004,CRO,02:10.2,29.3,33.77,34.31,m,Butterfly
"KERMANS, Ronens",2004,LAT,02:13.4,30.39,32.93,34.56,m,Butterfly
"VOGLI, Frenki",2003,ALB,02:14.7,31.67,34.34,35.27,m,Butterfly
"SORGIUS, Timo",2003,GER,02:16.0,30.82,33.52,36.07,m,Butterfly
"VELI, Elio",2004,ALB,02:16.8,31.24,34.75,36.52,m,Butterfly
"BERNAT, Laura",2005,POL,02:10.1,31.27,32.88,33.37,f,Butterfly
"SHANAHAN, Katie",2004,GBR,02:11.3,31.62,33.51,33.4,f,Butterfly
"GAETANI, Erika",2004,ITA,02:11.5,31.02,33.65,33.39,f,Butterfly
"NYIRADI, Reka",2004,HUN,02:12.5,31.48,33.63,33.61,f,Butterfly
"DENIZLI, Sudem",2005,TUR,02:14.6,31.54,33.62,34.72,f,Butterfly
"FONTANA, Chiara",2004,ITA,02:15.4,31.54,34.39,34.65,f,Butterfly
"PALICKA, Wiktoria",2005,POL,02:15.8,31.28,33.74,35.26,f,Butterfly
"SEIDEL, Lise",2006,GER,02:17.5,31.31,34.52,35.91,f,Butterfly
"BERNAT, Laura",2005,POL,02:11.7,30.84,33,34.69,f,Butterfly
"SHANAHAN, Katie",2004,GBR,02:13.0,32.42,33.48,33.68,f,Butterfly
"GAETANI, Erika",2004,ITA,02:13.5,31.13,33.66,34.46,f,Butterfly
"NYIRADI, Reka",2004,HUN,02:14.1,31.36,33.48,34.28,f,Butterfly
"SEIDEL, Lise",2006,GER,02:16.2,31.26,34.65,35.17,f,Butterfly
"FONTANA, Chiara",2004,ITA,02:16.4,32.17,34.65,34.91,f,Butterfly
"PALICKA, Wiktoria",2005,POL,02:17.8,31.86,35.26,35.47,f,Butterfly
"DENIZLI, Sudem",2005,TUR,02:17.9,31.59,33.54,34.68,f,Butterfly
"SAUNDERS, Rachel",2005,GBR,02:18.2,32.27,34.57,35.54,f,Butterfly
"SHARAFUTDINOVA, Nika",2005,UKR,02:18.8,31.52,34,35.81,f,Butterfly
"KASVIO, Louna",2006,FIN,02:18.9,32.84,35.22,35.95,f,Butterfly
"VERDONCK, Fleur",2006,BEL,02:19.3,32.59,35.08,36.19,f,Butterfly
"SPEHAR, Nika",2004,CRO,02:20.3,32.9,34.84,35.92,f,Butterfly
"NORBY, Kristine Nilsson",2005,DEN,02:20.8,32.53,34.78,36.16,f,Butterfly
"MARIN, Ioana",2005,ROU,02:21.2,31.79,35.92,36.62,f,Butterfly
"VALDMAA, Laura-Liis",2004,EST,02:21.8,31.93,36.02,36.67,f,Butterfly
"BERNAT, Laura",2005,POL,02:12.3,31.4,33.41,33.77,f,Butterfly
"SHANAHAN, Katie",2004,GBR,02:13.9,32.22,33.9,33.94,f,Butterfly
"GAETANI, Erika",2004,ITA,02:15.4,31.56,33.84,35.22,f,Butterfly
