,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
124,"SCHMITT, Allison",1990,USA,1:57.10,27.34,29.03,30.27,1
125,"BRUHN, Annika",1992,GER,1:57.15,27.24,29.47,29.99,1
126,"FAIRWEATHER, Erika",2003,NZL,1:57.26,27.39,29.60,30.05,1
127,"PELLEGRINI, Federica",1988,ITA,1:57.33,27.24,29.49,30.25,1
128,"SALAMATINA, Valeria",1998,RUS,1:58.33,27.66,29.75,30.40,1
129,"SEGEL, Janja",2001,SLO,1:58.38,27.94,29.61,30.16,1
130,"EVANS, Joanna L",1997,BAH,1:58.40,27.80,29.50,30.61,1
131,"MUREZ, Andrea",1992,ISR,1:58.97,27.86,29.71,30.43,1
132,"LI, Bingjie",2002,CHN,1:59.03,28.31,30.17,30.38,1
133,"ANDRUSENKO, Veronika",1991,RUS,1:59.17,28.07,30.05,30.44,1
134,"JORUNNARDOTTIR, Snaefridu",2000,ISL,2:00.20,28.31,30.52,30.58,1
135,"GAMEZ MATOS, Elisbet",1997,CUB,2:00.56,28.38,30.19,30.85,1
136,"MALUKA, Ieva",2003,LAT,2:03.75,27.39,29.94,32.32,1
137,"PADRON, Beatriz",2003,CRC,2:04.56,29.25,31.54,32.27,1
138,"NGUYEN, Thi Anh Vien",1996,VIE,2:05.30,28.70,31.22,32.49,1
139,"SANTIS, Gabriela",1996,GUA,2:07.24,28.50,31.95,33.90,1
140,"KHIYARA, Lina",2003,MAR,2:08.80,28.91,32.00,33.00,1
141,"DOUEIHY, Gabriella",1999,LBN,2:11.29,30.41,32.54,34.33,1
142,"YANG, Junxuan",2002,CHN,1:54.37,26.99,29.03,29.13,1
143,"TITMUS, Ariarne",2000,AUS,1:54.51,27.05,29.13,29.47,1
144,"MCINTOSH, Summer",2006,CAN,1:55.74,27.05,29.05,29.76,1
145,"SCHMITT, Allison",1990,USA,1:56.34,27.70,29.00,29.51,1
146,"BONNET, Charlotte",1995,FRA,1:58.08,27.68,29.89,30.66,1
147,"EGOROVA, Anna",1998,RUS,1:58.22,28.00,30.11,30.09,1
148,"JAKABOS, Zsuzsanna",1989,HUN,1:58.61,28.12,30.05,30.35,1
149,"GOSE, Isabel Marie",2002,GER,1:58.63,27.78,29.56,30.47,1
150,"O'CALLAGHAN, Mollie",2004,AUS,1:55.11,27.25,29.69,29.76,1
151,"GUZHENKOVA, Anastasia",1997,RUS,1:57.26,27.73,29.72,29.91,1
152,"GOSE, Isabel Marie",2002,GER,1:57.29,27.59,29.54,30.20,1
153,"TANG, Muhan",2003,CHN,1:57.29,27.13,29.55,30.18,1
154,"FAIRWEATHER, Erika",2003,NZL,1:57.38,27.30,29.67,30.37,1
155,"BONNET, Charlotte",1995,FRA,1:57.61,27.42,30.04,30.35,1
156,"IGARASHI, Chihiro",1995,JPN,1:57.87,27.52,30.14,30.51,1
157,"SAVARD, Katerine",1993,CAN,1:58.18,27.38,29.93,29.97,1
158,"CANNY, Aimee",2003,RSA,1:58.41,27.66,29.74,29.98,1
159,"SIMS, Arabella G",2005,USA,1:58.59,27.56,29.79,30.70,1
160,"JAKABOS, Zsuzsanna",1989,HUN,1:59.19,28.18,30.29,30.31,1
161,"RODRIGUES, Aline",1995,BRA,2:00.15,28.04,29.95,31.14,1
162,"JUNG, Hyunyoung",2005,KOR,2:01.27,28.09,30.69,31.30,1
163,"PIROZZI, Stefania",1993,ITA,2:01.64,28.16,30.20,31.38,1
164,"GUNES, Viktoria Zeynep",1998,TUR,2:04.42,28.37,31.02,32.32,1
