,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
38,"GARCIA KIRICHENKO, Cristina",2001,ESP,2:13.07,31.35,33.55,33.65,1
39,"EGOROVA, Polina",2000,RUS,2:15.90,30.93,34.20,34.99,1
40,"WHITE, Rhyan E",2000,USA,2:12.21,30.87,33.89,33.57,1
41,"BROAD, Madison",2000,CAN,2:12.94,30.54,34.28,34.43,1
42,"PENG, Xuwei",2003,CHN,2:13.06,31.11,33.61,34.48,1
43,"GARCIA KIRICHENKO, Cristina",2001,ESP,2:13.25,32.22,33.70,33.70,1
44,"MCKEOWN, Kaylee",2001,AUS,2:13.32,31.19,34.34,34.45,1
45,"SALCUTAN, Tatiana",2001,MDA,2:13.56,31.27,34.32,34.36,1
46,"ILYES, Laura Vanda",2001,HUN,2:13.83,31.74,33.66,34.43,1
47,"EGOROVA, Polina",2000,RUS,2:13.89,31.34,33.95,35.51,1
48,"GORBENKO, Anastasya",2003,ISR,2:14.24,32.38,33.71,34.84,1
49,"FRIAS MOLINA, Tamara",2000,ESP,2:15.09,32.56,34.21,34.73,1
50,"GOEIJ, Fernanda",2000,BRA,2:15.21,31.90,35.05,34.32,1
51,"PESSANHA, Maria Luiza",2000,BRA,2:15.93,31.82,35.09,34.72,1
52,"LOEYNING, Ingeborg Vassbakk",2000,NOR,2:16.46,31.92,34.92,34.44,1
53,"GOLD, Aleksa",2000,EST,2:17.14,32.98,34.80,35.83,1
54,"DUHAMEL, Cyrielle",2000,FRA,2:17.46,33.06,34.39,35.33,1
55,"REZVANTSEVA, Anastassiya",2002,KAZ,2:17.60,31.91,34.90,35.20,1
56,"HURTADO, Andrea",2000,PER,2:18.37,32.77,34.52,36.11,1
57,"VENTER, Mariella G",2000,RSA,2:18.70,32.52,34.59,36.08,1
58,"GALLOWAY, Gina M",2001,NZL,2:18.72,31.42,35.17,35.61,1
59,"KOLESNYKOVA, Maryna",2000,UKR,2:18.92,32.36,35.46,36.34,1
60,"CHEN, Szu-chi",2002,TPE,2:19.23,31.12,35.07,36.09,1
61,"VASKINA, Daria",2002,RUS,2:19.54,32.67,35.60,35.83,1
62,"TOUILI, Lila",2000,FRA,2:21.15,33.27,34.79,36.95,1
63,"ARDILES, Trinidad Paz",2003,CHI,2:24.27,32.93,36.35,37.66,1
64,"KRSTEVSKA, Mia",2001,MKD,2:27.15,33.28,36.74,38.33,1
65,"VERDINO, Claudia",2001,MON,2:30.26,34.98,37.84,39.09,1
