,Name,Date Of Birth,Country,Number_200m,Number_first_50m,Number_second_50m,Number_third_50m,gender
99,"NYIRADI, Reka",2004,HUN,2:10.44,31.06,32.81,33.14,1
100,"SHANAHAN, Katie",2004,GBR,2:10.74,31.32,33.01,33.26,1
101,"BARZELAY, Aviv",2002,ISR,2:11.60,30.81,32.86,33.82,1
102,"ZAMORANO SANZ, Africa",1998,ESP,2:11.98,30.97,33.09,34.27,1
103,"WILD, Cassie",2000,GBR,2:12.04,31.03,32.64,33.94,1
104,"MENSING, Jenny",1986,GER,2:12.13,31.36,33.32,33.98,1
105,"ZEVINA, Daryna",1994,UKR,2:12.32,31.54,33.48,33.80,1
106,"SALCUTAN, Tatiana",2001,MDA,2:13.08,31.46,34.04,33.64,1
107,"MAZUTAITYTE, Ugne",1997,LTU,2:13.26,31.12,33.02,34.15,1
108,"AVRAMOVA, Ekaterina",1991,TUR,2:13.37,30.72,33.65,34.35,1
109,"OEZTUERK, Sonnele",1998,GER,2:13.82,32.10,34.06,34.16,1
110,"HERASIMOWICZ, Zuzanna",2002,POL,2:13.96,31.66,34.07,34.32,1
111,"GOLD, Aleksa",2000,EST,2:14.11,31.07,33.39,34.53,1
112,"SHKURDAI, Anastasiya",2003,BLR,2:14.29,30.79,33.94,34.93,1
113,"GEORGIEVA, Gabriela",1997,BUL,2:14.32,31.58,33.45,34.16,1
114,"SZILAGYI, Gerda",2003,HUN,2:14.36,32.09,34.26,34.20,1
115,"SACHA, Ioanna",1999,GRE,2:14.83,30.66,33.34,34.58,1
116,"DENIZLI, Sudem",2005,TUR,2:15.22,31.76,34.37,34.95,1
117,"LAEMMLER, Nadine",1994,GER,2:15.38,31.46,33.99,35.16,1
118,"BORER, Fanny",1996,SUI,2:15.74,32.04,34.33,34.75,1
119,"POTOCKA, Tamara",2002,SVK,2:16.13,32.33,35.04,34.33,1
120,"LOEYNING, Ingeborg Vassbakk",2000,NOR,2:16.45,31.73,33.68,34.53,1
121,"SOERENSEN, Karoline",2002,DEN,2:17.12,31.13,34.67,35.58,1
122,"NYSTRAND, Lisa",2006,SWE,2:17.50,33.30,35.12,35.08,1
123,"GREGOIRE, Marion",2003,BEL,2:17.60,31.37,34.80,35.36,1
124,"SMITS, Jade",2001,BEL,2:18.34,31.81,34.95,36.39,1
125,"SEGEL, Janja",2001,SLO,2:18.43,32.19,34.44,35.70,1
126,"JOENSEN, Signhild",2000,FAR,2:18.50,32.10,34.65,35.85,1
127,"MARUSAKOVA, Emma",2003,SVK,2:20.80,32.56,35.38,36.53,1
128,"KRSTEVSKA, Mia",2001,MKD,2:23.40,32.74,35.71,37.10,1
129,"BEQIRI, Jona",2006,KOS,2:30.61,35.23,38.48,39.33,1
130,"BERNAT, Laura",2005,POL,2:12.79,31.49,33.65,34.35,1
